AssignmentID,DueDate,AssignmentTypeID,SectionID,PromptTitle1,PromptTitle2,PromptTitle3,PromptTitle4,PromptTitle5,PromptTitle6,PromptTitle7,PossiblePoints1,PossiblePoints2,PossiblePoints3,PossiblePoints4,PossiblePoints5,PossiblePoints6,PossiblePoints7
869,09/18/2023 11:59 PM,H,111,"Distance learning","Facial action coding system","The Face on Mars","Car-free cities","Does the electoral college work?","Phones and driving","Exploring Venus",1,1,1,1,1,1,4
195,10/02/2023 11:59 PM,Q,111,"Phones and driving","The Face on Mars","Seeking multiple opinions","Distance learning","Exploring Venus","Does the electoral college work?","Car-free cities",4,4,4,4,4,4,6
556,10/16/2023 11:59 PM,H,111,"The Face on Mars","Phones and driving","Grades for extracurricular activities","Mandatory extracurricular activities","Distance learning","Facial action coding system","Seeking multiple opinions",1,1,1,1,1,1,4
649,10/30/2023 11:59 PM,Q,111,"Car-free cities","Mandatory extracurricular activities","Driverless cars","Exploring Venus","The Face on Mars","Phones and driving","A Cowboy Who Rode the Waves",4,4,4,4,4,4,6
244,11/13/2023 11:59 PM,E,111,"Car-free cities","The Face on Mars","Seeking multiple opinions","Does the electoral college work?","Facial action coding system","Phones and driving","Mandatory extracurricular activities",7,7,7,7,7,7,8
874,11/27/2023 11:59 PM,H,111,"Distance learning","Cell phones at school","Does the electoral college work?","Community service","Summer projects","A Cowboy Who Rode the Waves","Exploring Venus",1,1,1,1,1,1,4
765,12/11/2023 11:59 PM,F,111,"Phones and driving","Does the electoral college work?","A Cowboy Who Rode the Waves","Driverless cars","Seeking multiple opinions","Facial action coding system","Distance learning",14,14,14,14,14,14,16
852,09/18/2023 11:59 PM,H,112,"Distance learning","A Cowboy Who Rode the Waves","Does the electoral college work?","Community service","Cell phones at school","Facial action coding system","Driverless cars",1,1,1,1,1,1,4
225,10/02/2023 11:59 PM,Q,112,"Cell phones at school","Car-free cities","Distance learning","Summer projects","Mandatory extracurricular activities","Does the electoral college work?","Driverless cars",4,4,4,4,4,4,6
645,10/16/2023 11:59 PM,H,112,"Driverless cars","Car-free cities","Does the electoral college work?","Grades for extracurricular activities","Community service","Cell phones at school","Distance learning",1,1,1,1,1,1,4
983,10/30/2023 11:59 PM,Q,112,"Seeking multiple opinions","Cell phones at school","Summer projects","Distance learning","Mandatory extracurricular activities","Exploring Venus","The Face on Mars",4,4,4,4,4,4,6
803,11/13/2023 11:59 PM,E,112,"Summer projects","A Cowboy Who Rode the Waves","Does the electoral college work?","Facial action coding system","Distance learning","Car-free cities","Community service",7,7,7,7,7,7,8
586,11/27/2023 11:59 PM,H,112,"Does the electoral college work?","Mandatory extracurricular activities","Car-free cities","Facial action coding system","Grades for extracurricular activities","Cell phones at school","Exploring Venus",1,1,1,1,1,1,4
704,12/11/2023 11:59 PM,F,112,"Facial action coding system","Summer projects","Community service","Grades for extracurricular activities","Car-free cities","Does the electoral college work?","Seeking multiple opinions",14,14,14,14,14,14,16
135,09/18/2023 11:59 PM,H,311,"Cell phones at school","Distance learning","Grades for extracurricular activities","Community service","Exploring Venus","Car-free cities","Driverless cars",1,1,1,1,1,1,4
129,10/02/2023 11:59 PM,Q,311,"The Face on Mars","Cell phones at school","Grades for extracurricular activities","Phones and driving","A Cowboy Who Rode the Waves","Facial action coding system","Driverless cars",4,4,4,4,4,4,6
957,10/16/2023 11:59 PM,H,311,"Phones and driving","Exploring Venus","Driverless cars","Cell phones at school","Community service","A Cowboy Who Rode the Waves","Does the electoral college work?",1,1,1,1,1,1,4
634,10/30/2023 11:59 PM,Q,311,"Car-free cities","Exploring Venus","Mandatory extracurricular activities","Facial action coding system","Driverless cars","A Cowboy Who Rode the Waves","Phones and driving",4,4,4,4,4,4,6
615,11/13/2023 11:59 PM,E,311,"Distance learning","Summer projects","The Face on Mars","A Cowboy Who Rode the Waves","Community service","Grades for extracurricular activities","Driverless cars",7,7,7,7,7,7,8
719,11/27/2023 11:59 PM,H,311,"Car-free cities","Driverless cars","A Cowboy Who Rode the Waves","Phones and driving","Mandatory extracurricular activities","Facial action coding system","Community service",1,1,1,1,1,1,4
271,12/11/2023 11:59 PM,F,311,"Phones and driving","The Face on Mars","Cell phones at school","Seeking multiple opinions","Community service","Facial action coding system","Distance learning",14,14,14,14,14,14,16
404,09/18/2023 11:59 PM,H,809,"Grades for extracurricular activities","Facial action coding system","Community service","Cell phones at school","Driverless cars","Does the electoral college work?","Phones and driving",1,1,1,1,1,1,4
509,10/02/2023 11:59 PM,Q,809,"Car-free cities","Exploring Venus","Driverless cars","Grades for extracurricular activities","Does the electoral college work?","Facial action coding system","Seeking multiple opinions",4,4,4,4,4,4,6
286,10/16/2023 11:59 PM,H,809,"Does the electoral college work?","Exploring Venus","Driverless cars","A Cowboy Who Rode the Waves","The Face on Mars","Car-free cities","Distance learning",1,1,1,1,1,1,4
