Variable,Stand-in_Value
PROPER_NAME,Johnathan
LAST_NAME,Hendricks
GENERIC_NAME,"Kim Jenkins"
ADDRESS_NAME,"1234 Main Street, Plains City, Iowa 50047"
LOCATION_NAME,"Plains City, Iowa"
TEST_NAME,"STAR exam"
COURSE_NAME,"Course on Literature, Writing, and Reasoning"
SCHOOL_NAME,"Richardson High School"
HOTEL_NAME,"The Hilton Garden Inn"
STATE_NAME,Iowa
RELATIVE_NAME,"Taylor Senna"
TEACHER_NAME,"Constance Simmons"
OTHER_NAME,"Amanda"
EMAIL_NAME,snorkelfreak@batclap.com
STUDENT_NAME,"Jessica Cordero"
